iter	RMSE
0	1.585173916
1	1.488827796
2	1.405742938
3	1.335373952
4	1.275296046
5	1.222098683
6	1.177134325
7	1.139750764
8	1.106417461
9	1.075955648
10	1.053366983
11	1.032043323
12	1.009962208
13	0.99404328
14	0.9741234004
15	0.962116581
16	0.9444799018
17	0.9336349878
18	0.9237645583
19	0.9154205669
20	0.9080079707
21	0.8959296532
22	0.8820239268
23	0.8747035435
24	0.868367022
25	0.8602094106
26	0.851803806
27	0.8473114756
28	0.8357038849
29	0.8264287192
30	0.8221706996
31	0.8138092958
32	0.8099881937
33	0.7951077144
34	0.7906527067
35	0.7821489049
36	0.7791124371
37	0.7691289694
38	0.7634208332
39	0.7582060184
40	0.7551199357
41	0.7524294659
42	0.7499119804
43	0.7438903527
44	0.7385942299
45	0.7348853806
46	0.729141315
47	0.727132822
48	0.7251933687
49	0.7230734479
50	0.7163247537
51	0.7128332988
52	0.706570142
53	0.7047360523
54	0.7027101383
55	0.6986680029
56	0.6960681672
57	0.6910928963
58	0.6875203578
59	0.6856573266
60	0.684470589
61	0.6802907219
62	0.6778116802
63	0.6740328145
64	0.6724718772
65	0.6681842898
66	0.6659704705
67	0.6645654501
68	0.6631783591
69	0.6624234601
70	0.6588860403
71	0.6574219547
72	0.6547889317
73	0.653733374
74	0.6520697444
75	0.6508781979
76	0.649611303
77	0.6474516542
78	0.6444566986
79	0.6411694507
80	0.6402375171
81	0.6391625203
82	0.6383098401
83	0.6359030291
84	0.6331539785
85	0.6320826263
86	0.6307660921
87	0.6293102765
88	0.6285296902
89	0.6275018819
90	0.6249328733
91	0.6243630983
92	0.6218096704
93	0.6203457946
94	0.6190165117
95	0.6172769049
96	0.6161372836
97	0.6150795006
98	0.6129987483
99	0.6122276201
100	0.6102532585
101	0.6085825234
102	0.6076402494
103	0.6051221357
104	0.6042777451
105	0.6029112994
106	0.6020899183
107	0.5998582039
108	0.5986130585
109	0.596493474
110	0.5955324404
111	0.5946914579
112	0.5941136027
113	0.5925364674
114	0.5903072503
115	0.5889772676
116	0.5878548495
117	0.58630524
118	0.5853065803
119	0.5833503944
120	0.5821059159
121	0.58120585
122	0.5807300817
123	0.5794783569
124	0.5783960388
125	0.576788343
126	0.5760924165
127	0.5753207755
128	0.5735436314
129	0.5725688545
130	0.5718135888
131	0.5705161252
132	0.5699955577
133	0.5694104041
134	0.5676703174
135	0.5669250631
136	0.5663641344
137	0.5657642212
138	0.5651593859
139	0.56383884
140	0.5632638435
141	0.5623051861
142	0.5617690245
143	0.5611365131
144	0.5599784433
145	0.5595996727
146	0.5583984752
147	0.5569492551
148	0.5562363302
149	0.554982207
150	0.5545324901
151	0.5541203524
152	0.5535096009
153	0.5526647759
154	0.5520994989
155	0.5515596955
156	0.5506625691
157	0.5491609851
158	0.5482803499
159	0.5479171979
160	0.5473329984
161	0.5469089367
162	0.5463311186
163	0.5459540388
164	0.5451168069
165	0.5445911462
166	0.5439281021
167	0.5434231273
168	0.5418766228
169	0.5411748907
170	0.540608166
171	0.5401437462
172	0.5397814693
173	0.5393649698
174	0.5389196233
175	0.5382744218
176	0.5378574852
177	0.5373945253
178	0.5364073283
179	0.5360108964
180	0.5355701273
181	0.5343067513
182	0.5327923703
183	0.5322934154
184	0.5318862742
185	0.5315069799
186	0.5310923783
187	0.5307531514
188	0.5303994715
189	0.5293684859
190	0.5284090043
191	0.5281650838
192	0.5276146348
193	0.5272131247
194	0.5265387662
195	0.5257778427
196	0.5248043145
197	0.5244588167
198	0.5240652383
199	0.5235151516
200	0.5230354624
201	0.5217866709
202	0.5214341126
203	0.5210469447
204	0.5208036397
205	0.5203390379
206	0.519882988
207	0.5192278287
208	0.5189606845
209	0.5180880475
210	0.5175169031
211	0.5170782876
212	0.5163785785
213	0.516065556
214	0.5157742999
215	0.5151141234
216	0.5145426404
217	0.5135680294
218	0.5132792114
219	0.5123873929
220	0.511696262
221	0.5114210237
222	0.5110050317
223	0.5108710428
224	0.5102585035
225	0.5100148982
226	0.5095243049
227	0.5090191709
228	0.5083858086
229	0.5076299012
230	0.5073440625
231	0.5070127521
232	0.5065864844
233	0.5062209594
234	0.5055041419
235	0.5052924293
236	0.504745366
237	0.5040713919
238	0.5035016867
239	0.503029913
240	0.5022428205
241	0.5018873469
242	0.50150405
243	0.5011642505
244	0.5006253112
245	0.50035044
246	0.5001574069
247	0.4993403097
248	0.4988577098
249	0.4984650605
250	0.4978508309
251	0.4975266865
252	0.497220243
253	0.4967282868
254	0.4962991681
255	0.4958276553
256	0.4955454579
257	0.4952825411
258	0.4949871031
259	0.4948225404
260	0.494551718
261	0.4939290077
262	0.4935772798
263	0.4933232183
264	0.4930681547
265	0.4927777581
266	0.492525829
267	0.4919677582
268	0.4917740199
269	0.4914044281
270	0.4911988162
271	0.4908898676
272	0.49046237
273	0.4901114652
274	0.4898137519
275	0.489487552
276	0.4893211506
277	0.4890534044
278	0.4886245183
279	0.488453507
280	0.4882705696
281	0.4875804685
282	0.4870933957
283	0.4869007207
284	0.4865190711
285	0.4861373771
286	0.485478995
287	0.4853043939
288	0.4848510406
289	0.4846394042
290	0.484303219
291	0.4840262926
292	0.4836354784
293	0.4831514066
294	0.4825614702
295	0.4821823516
296	0.4820297305
297	0.4817082472
298	0.4814065893
299	0.4811719322
300	0.4809076006
301	0.4804377335
302	0.4801718521
303	0.4799117402
304	0.4797495205
305	0.4795789696
306	0.4793736091
307	0.4789940852
308	0.4785545353
309	0.4782913005
310	0.4779795247
311	0.4777404604
312	0.477347285
313	0.4771633263
314	0.4768612824
315	0.4767390757
316	0.4764973553
317	0.4763237753
318	0.4761326553
319	0.4759511954
320	0.4757820569
321	0.4756406356
322	0.4753146612
323	0.47499715
324	0.4747691778
325	0.4744750861
326	0.4742458965
327	0.4740820339
328	0.4739343555
329	0.4737476266
330	0.473458385
331	0.4733170426
332	0.4731416013
333	0.4729819371
334	0.4728190953
335	0.4725719172
336	0.4723849642
337	0.4719973443
338	0.4718023904
339	0.4715440268
340	0.4713075556
341	0.471126898
342	0.4708620403
343	0.4706749519
344	0.4704171787
345	0.4701564561
346	0.4697548217
347	0.4696113186
348	0.4695474653
349	0.4693985291
350	0.469139705
351	0.4689765118
352	0.4686092397
353	0.4683542773
354	0.4680404642
355	0.4677501407
356	0.4673641516
357	0.466891454
358	0.4666895851
359	0.4665854796
360	0.4663023317
361	0.4660440221
362	0.4656937357
363	0.4655124779
364	0.4653249382
365	0.4651346592
366	0.4648691998
367	0.4644543
368	0.4642459636
369	0.4641471782
370	0.4640104518
371	0.4638118231
372	0.4636284245
373	0.4634911041
374	0.4632818089
375	0.4631150725
376	0.4628739752
377	0.4626988981
378	0.4624719699
379	0.4622849886
380	0.4620781571
381	0.4619899958
382	0.461759559
383	0.461616571
384	0.4612451537
385	0.4610311342
386	0.4608894784
387	0.4605641691
388	0.4604037648
389	0.4601221995
390	0.4598546865
391	0.4596398412
392	0.459486819
393	0.4592908965
394	0.4590995169
395	0.4589734732
396	0.458808394
397	0.4586436009
398	0.4585070368
399	0.4582648087
400	0.4581406748
401	0.4579830332
402	0.45780863
403	0.4576632983
404	0.4574627637
405	0.4571415003
406	0.4570020636
407	0.4567984747
408	0.4564882382
409	0.4560092055
410	0.4557629141
411	0.4555460818
412	0.4553576423
413	0.4552331248
414	0.4550623581
415	0.4548599612
416	0.4547547271
417	0.4545076066
418	0.4540370766
419	0.4536424918
420	0.4535051497
421	0.4533196575
422	0.4532136488
423	0.453110445
424	0.4527736349
425	0.452567311
426	0.4522624945
427	0.4520182
428	0.4518751757
429	0.4517575124
430	0.4514860465
431	0.4513290353
432	0.4511555997
433	0.4509157806
434	0.4507640274
435	0.4505724761
436	0.4503330933
437	0.4501969171
438	0.4497970766
439	0.4496782929
440	0.4495785324
441	0.4491934471
442	0.4490947975
443	0.4488736402
444	0.4487535212
445	0.4486788262
446	0.448594043
447	0.4484632496
448	0.448333381
449	0.4481552044
450	0.447918195
451	0.4477941142
452	0.4476742401
453	0.4475020141
454	0.4474192178
455	0.4473439076
456	0.4472433811
457	0.4471182743
458	0.4469812575
459	0.4467291667
460	0.4465083509
461	0.4464002108
462	0.4463045282
463	0.4460836429
464	0.4458688148
465	0.4456174958
466	0.4454362179
467	0.4452327038
468	0.445109939
469	0.4448633031
470	0.4446283078
471	0.4444728335
472	0.4442696635
473	0.4441320367
474	0.4439736279
475	0.443880808
476	0.4438018251
477	0.4437152735
478	0.4434604054
479	0.4433792741
480	0.443091452
481	0.4428664772
482	0.4427503709
483	0.4425752144
484	0.442405949
485	0.4422184098
486	0.4421157322
487	0.4419420992
488	0.441848172
489	0.4417608734
490	0.4416678722
491	0.4415088102
492	0.4413949734
493	0.4412679375
494	0.4411761639
495	0.4410884762
496	0.4409847386
497	0.4409036702
498	0.4408293327
499	0.4407421669
500	0.4404685582
501	0.440275064
502	0.4402114691
503	0.4400884973
504	0.4399370174
505	0.4398501946
506	0.4395655693
507	0.4394829747
508	0.4393592253
509	0.4392225662
510	0.4390134352
511	0.4389041674
512	0.4387516266
513	0.4386800088
514	0.4385996676
515	0.4385139424
516	0.438327745
517	0.4382568144
518	0.4381824231
519	0.4380091188
520	0.4378752503
521	0.4378092546
522	0.4376879583
523	0.4376011064
524	0.4373428785
525	0.4371204398
526	0.4369057404
527	0.4368133082
528	0.4366443556
529	0.4365249134
530	0.4361248002
531	0.4359244497
532	0.4358627673
533	0.4356612551
534	0.4354887473
535	0.4354129868
536	0.4352872434
537	0.4351402162
538	0.4350400417
539	0.4349598413
540	0.4348367546
541	0.4347368747
542	0.4346596647
543	0.4345803754
544	0.434400715
545	0.434304158
546	0.4342013778
547	0.4340649658
548	0.4338563006
549	0.4337209438
550	0.4333519705
551	0.4332579823
552	0.4331296033
553	0.4328055225
554	0.4325173217
555	0.4323868372
556	0.4322832364
557	0.4320617507
558	0.4319244074
559	0.4317633806
560	0.4314898839
561	0.4314171633
562	0.4312699636
563	0.4311305838
564	0.4309958513
565	0.4308381401
566	0.4307482607
567	0.4305678531
568	0.4304841044
569	0.430408417
570	0.4302935092
571	0.4301809137
572	0.430082059
573	0.4299896688
574	0.4298318037
575	0.4297383247
576	0.4296516143
577	0.4295470846
578	0.4294261116
579	0.4292968209
580	0.4292343129
581	0.4291043081
582	0.4288814386
583	0.4287362393
584	0.4286829879
585	0.4286219069
586	0.4285563556
587	0.4284431733
588	0.4283123585
589	0.4282346835
590	0.4281405691
591	0.4279991164
592	0.4278853745
593	0.4278194747
594	0.4277380616
595	0.427596382
596	0.4275035368
597	0.4274224174
598	0.4273142905
599	0.4272302409
600	0.4270345555
601	0.4269903932
602	0.4268181633
603	0.4267071111
604	0.4265381659
605	0.4264550002
606	0.4263873663
607	0.4263253471
608	0.4262478556
609	0.4261645661
610	0.4259023993
611	0.4257436727
612	0.4256449235
613	0.4255761822
614	0.4254834562
615	0.4253049537
616	0.4251765034
617	0.4251063754
618	0.4250306737
619	0.4249551326
620	0.4247851445
621	0.4247151541
622	0.4244885927
623	0.4244066788
624	0.4243236046
625	0.4242606176
626	0.4241581919
627	0.4240970587
628	0.4240516349
629	0.4239070755
630	0.4237850677
631	0.42370405
632	0.4236200444
633	0.4235499242
634	0.4234972909
635	0.42340802
636	0.4233381781
637	0.4232790508
638	0.4231025231
639	0.4229433856
640	0.4227092367
641	0.4225900569
642	0.4225353557
643	0.4224845619
644	0.4223334474
645	0.4222725634
646	0.4222079442
647	0.4220720452
648	0.4220197508
649	0.4218566704
650	0.4216945696
651	0.4215725629
652	0.4214522067
653	0.4211993849
654	0.4211264024
655	0.4210242554
656	0.4209102089
657	0.4207127054
658	0.4204703799
659	0.4203136278
660	0.4201933085
661	0.4200708738
662	0.4199955872
663	0.4199001591
664	0.4198411346
665	0.4197694982
666	0.4196755466
667	0.4196052641
668	0.4194969537
669	0.4193756208
670	0.4192954706
671	0.4190867666
672	0.4190061038
673	0.4189711817
674	0.4188974747
675	0.4188048878
676	0.4187548146
677	0.4186479276
678	0.4184999442
679	0.4184197674
680	0.4183605643
681	0.4182879081
682	0.4181910218
683	0.4180429923
684	0.4178697276
685	0.4178162817
686	0.4177284993
687	0.4176520676
688	0.4175678478
689	0.4175132254
690	0.4174083153
691	0.4173356983
692	0.4171525756
693	0.4171066486
694	0.4170558549
695	0.417002893
696	0.4169126816
697	0.4168308847
698	0.4167877736
699	0.4167399009
700	0.4165180378
701	0.4163943082
702	0.416265714
703	0.416120538
704	0.4159503931
705	0.4158960633
706	0.4158472808
707	0.4157883104
708	0.415670374
709	0.4156082029
710	0.4155232841
711	0.4154655236
712	0.4154158857
713	0.4153491033
714	0.4152009011
715	0.4150804174
716	0.4149778968
717	0.4149034727
718	0.4148020638
719	0.4147316269
720	0.41465583
721	0.4146085955
722	0.4145423909
723	0.414496544
724	0.4143966662
725	0.4143187981
726	0.4142774675
727	0.4141634573
728	0.4141094659
729	0.4140396457
730	0.4139203147
731	0.4138415387
732	0.4136356813
733	0.4135338797
734	0.4134392344
735	0.413390106
736	0.4132532392
737	0.4132016207
738	0.4131379664
739	0.4130569365
740	0.4127908222
741	0.4127328051
742	0.412671629
743	0.4126147565
744	0.4125431035
745	0.4124908392
746	0.412436404
747	0.4124087892
748	0.4123138991
749	0.4122600277
750	0.4122009453
751	0.4121313342
752	0.4120716711
753	0.4119598995
754	0.4118638102
755	0.4117445134
756	0.4116454873
757	0.4115211886
758	0.4114704593
759	0.4113489719
760	0.4111306388
761	0.4110872038
762	0.4109448767
763	0.4108851341
764	0.4108330449
765	0.4107508624
766	0.4105876676
767	0.4105159742
768	0.4104317007
769	0.4103846948
770	0.4103314138
771	0.4102325127
772	0.4101648241
773	0.4100851427
774	0.4100384121
775	0.4099591394
776	0.4098747848
777	0.4098337525
778	0.4097580986
779	0.409718945
780	0.4095844778
781	0.4095009321
782	0.40942989
783	0.4093425453
784	0.4092788701
785	0.4092063637
786	0.409132148
787	0.4090786839
788	0.4089658419
789	0.4089255396
790	0.4088405096
791	0.4087900055
792	0.4087093884
793	0.4086387123
794	0.4085335173
795	0.4084693682
796	0.4083985623
797	0.4083355864
798	0.4082914305
799	0.4081084777
800	0.4080307389
801	0.4079738788
802	0.4079226773
803	0.4077403048
804	0.4076873316
805	0.4075874084
806	0.4074990742
807	0.4074568161
808	0.4073869968
809	0.4073149313
810	0.4072744238
811	0.4072388459
812	0.4071718196
813	0.4070981207
814	0.4070490926
815	0.4070033197
816	0.4069304338
817	0.4068526082
818	0.4067772819
819	0.4066411945
820	0.4065964553
821	0.4065446354
822	0.406509799
823	0.4064362492
824	0.4062990487
825	0.406264007
826	0.4060663444
827	0.4059778891
828	0.4059247111
829	0.4058492751
830	0.4057480963
831	0.4057041755
832	0.4056191947
833	0.4055255959
834	0.4054636598
835	0.4053458022
836	0.4053115463
837	0.4052636397
838	0.4052193047
839	0.4051645077
840	0.404923333
841	0.4048621356
842	0.40471726
843	0.4046253482
844	0.4045524225
845	0.4044888792
846	0.4044276186
847	0.4043564429
848	0.4043093422
849	0.4042521368
850	0.4041952313
851	0.4041095791
852	0.4040625483
853	0.4039332188
854	0.4038935377
855	0.4038590362
856	0.4037805582
857	0.4037261267
858	0.4036701911
859	0.4036032181
860	0.4035661458
861	0.4035232983
862	0.4033181047
863	0.4032810674
864	0.4031896798
865	0.4031429705
866	0.4030660696
867	0.4030175333
868	0.4029740554
869	0.4029022396
870	0.4028031309
871	0.4027651974
872	0.4026372247
873	0.402512429
874	0.4024444678
875	0.402358503
876	0.402255174
877	0.4022109205
878	0.4021305834
879	0.4020796344
880	0.4020117338
881	0.401959814
882	0.4018834857
883	0.4018401695
884	0.4017246574
885	0.401626254
886	0.4015197156
887	0.4014521555
888	0.40137432
889	0.4012827525
890	0.4012499722
891	0.4012149092
892	0.4011189044
893	0.4010473944
894	0.4009820619
895	0.4009404199
896	0.4006423867
897	0.4005350823
898	0.4005137629
899	0.4004705912
900	0.400398104
901	0.4003525672
902	0.400175942
903	0.4000320636
904	0.3999720717
905	0.3999004908
906	0.3998519552
907	0.3997455081
908	0.399595774
909	0.3995777165
910	0.3995384897
911	0.3994726718
912	0.39943801
913	0.3993693638
914	0.3993068459
915	0.3992209349
916	0.3991174395
917	0.3990597464
918	0.3990131964
919	0.3989793281
920	0.3988569037
921	0.3988175141
922	0.3987878231
923	0.3987457647
924	0.3987150857
925	0.3986419097
926	0.3986027383
927	0.3985476569
928	0.3985192504
929	0.3984021062
930	0.3983537102
931	0.3983019757
932	0.3982698456
933	0.3982213336
934	0.3981590622
935	0.3981341563
936	0.3980911443
937	0.3980580685
938	0.3979668158
939	0.3979286654
940	0.3978976945
941	0.3977965691
942	0.3977244433
943	0.3976649569
944	0.397487758
945	0.397444307
946	0.3974136376
